contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TSLA250703C00050000,2025-06-27 19:33:48+00:00,50.0,271.8,273.05,274.55,-6.0,-2.1598275,2.0,9.0,5.7890652636718745,True,REGULAR,USD,call
TSLA250703C00090000,2025-06-02 13:55:10+00:00,90.0,249.86,233.1,234.6,0.0,0.0,,1.0,4.113286108398437,True,REGULAR,USD,call
TSLA250703C00095000,2025-06-18 16:50:58+00:00,95.0,228.69,228.05,229.65,0.0,0.0,,1.0,3.94531263671875,True,REGULAR,USD,call
TSLA250703C00115000,2025-06-03 15:06:22+00:00,115.0,236.05,208.1,209.6,0.0,0.0,5.0,5.0,3.3593766015624995,True,REGULAR,USD,call
TSLA250703C00120000,2025-06-27 19:19:51+00:00,120.0,200.14,203.15,204.6,-5.1600037,-2.5133967,2.0,2.0,3.269533076171875,True,REGULAR,USD,call
TSLA250703C00135000,2025-06-23 13:36:59+00:00,135.0,199.81,189.05,190.55,0.0,0.0,,,3.6611336596679696,True,REGULAR,USD,call
TSLA250703C00140000,2025-06-26 16:44:15+00:00,140.0,189.18,183.15,184.6,0.0,0.0,1.0,4.0,2.792971767578125,True,REGULAR,USD,call
TSLA250703C00150000,2025-06-26 18:51:16+00:00,150.0,177.17,173.2,174.65,0.0,0.0,13.0,22.0,2.642581518554688,True,REGULAR,USD,call
TSLA250703C00155000,2025-06-27 19:54:58+00:00,155.0,168.65,168.55,169.45,-3.9000092,-2.2602196,31.0,3239.0,2.61719095703125,True,REGULAR,USD,call
TSLA250703C00160000,2025-06-26 15:04:19+00:00,160.0,169.55,163.2,164.65,0.0,0.0,4.0,15.0,2.43750390625,True,REGULAR,USD,call
TSLA250703C00165000,2025-06-23 15:43:44+00:00,165.0,188.45,159.15,160.65,0.0,0.0,,,2.9414088964843748,True,REGULAR,USD,call
TSLA250703C00170000,2025-06-27 16:09:37+00:00,170.0,154.69,153.25,154.65,-4.0599976,-2.557479,1.0,13.0,2.269535576171875,True,REGULAR,USD,call
TSLA250703C00175000,2025-06-26 16:58:27+00:00,175.0,148.8,148.2,149.75,-5.1299896,-3.3326771,1.0,1.0,2.1992232519531245,True,REGULAR,USD,call
TSLA250703C00180000,2025-06-27 16:33:01+00:00,180.0,145.1,143.3,144.7,-2.4299927,-1.6471177,31.0,31.0,2.128910927734375,True,REGULAR,USD,call
TSLA250703C00185000,2025-06-20 18:10:22+00:00,185.0,139.66,138.25,139.75,0.0,0.0,4.0,4.0,2.0400439624023434,True,REGULAR,USD,call
TSLA250703C00190000,2025-06-27 18:05:23+00:00,190.0,133.49,133.3,134.7,-18.48999,-12.166069,1.0,10.0,1.953125234375,True,REGULAR,USD,call
TSLA250703C00195000,2025-06-27 19:50:01+00:00,195.0,127.93,128.25,129.8,3.340004,2.6807961,3.0,43.0,1.8847662011718749,True,REGULAR,USD,call
TSLA250703C00200000,2025-06-27 19:29:26+00:00,200.0,121.0,123.35,124.75,-5.8799973,-4.634298,6.0,99.0,1.8173837255859375,True,REGULAR,USD,call
TSLA250703C00205000,2025-06-27 15:34:39+00:00,205.0,121.46,118.3,119.8,-28.640007,-19.080616,6.0,2.0,1.734376328125,True,REGULAR,USD,call
TSLA250703C00210000,2025-06-27 18:35:40+00:00,210.0,110.75,113.35,114.75,-7.330002,-6.2076573,2.0,72.0,1.6533220458984377,True,REGULAR,USD,call
